UID          PID    PPID  C STIME TTY          TIME CMD
devasc      6566    5612  1 10:57 ?        00:03:58 /usr/lib/firefox/firefox -contentproc -childID 8 -isForBrowser -prefsLen 9764 -prefMapSize 216193 -parentBuildID 20200602222727 -appdir /usr/lib/firefox/browser 5612 true tab
devasc      6615    1429  0 10:59 ?        00:00:00 [sh] <defunct>
devasc      6617    1429  0 10:59 ?        00:00:00 [sh] <defunct>
devasc      6659    1429  0 10:59 ?        00:00:00 [sh] <defunct>
devasc      6709    1429  0 11:01 ?        00:00:00 [sh] <defunct>
devasc      6711    1429  0 11:01 ?        00:00:00 [sh] <defunct>
devasc      6751    1429  0 11:01 ?        00:00:00 [sh] <defunct>
devasc      6926    1429  0 11:06 ?        00:00:00 [sh] <defunct>
devasc      6928    1429  0 11:06 ?        00:00:00 [sh] <defunct>
devasc      6983    1429  0 11:06 ?        00:00:00 [sh] <defunct>
root        7122       1  0 11:10 ?        00:00:00 /usr/sbin/cupsd -l
root        7124       1  0 11:10 ?        00:00:00 /usr/sbin/cups-browsed
devasc      7183    1429  0 11:11 ?        00:00:00 [sh] <defunct>
devasc      7185    1429  0 11:11 ?        00:00:00 [sh] <defunct>
devasc      7221    1429  0 11:11 ?        00:00:00 [sh] <defunct>
devasc      7295    1722  0 11:11 ?        00:01:24 atril /media/sf_ABJ/Instructor DevNet Associate Lab.pdf
devasc      7302    1258  0 11:11 ?        00:00:00 /usr/lib/atril/atrild
devasc      7320    7295  0 11:11 ?        00:00:01 /usr/lib/x86_64-linux-gnu/webkit2gtk-4.0/WebKitWebProcess 7 27
devasc      7321    7295  0 11:11 ?        00:00:00 /usr/lib/x86_64-linux-gnu/webkit2gtk-4.0/WebKitNetworkProcess 8 27
devasc      7440    1722  0 11:13 ?        00:00:53 mate-terminal
devasc      7573    5612  0 11:18 ?        00:01:10 /usr/lib/firefox/firefox -contentproc -childID 9 -isForBrowser -prefsLen 9805 -prefMapSize 216193 -parentBuildID 20200602222727 -appdir /usr/lib/firefox/browser 5612 true tab
devasc      7602    5612  1 11:19 ?        00:03:25 /usr/lib/firefox/firefox -contentproc -childID 10 -isForBrowser -prefsLen 9805 -prefMapSize 216193 -parentBuildID 20200602222727 -appdir /usr/lib/firefox/browser 5612 true tab
devasc      7711       1  0 11:22 ?        00:00:01 /usr/lib/speech-dispatcher-modules/sd_dummy /etc/speech-dispatcher/modules/dummy.conf
devasc      7714       1  0 11:22 ?        00:00:01 /usr/lib/speech-dispatcher-modules/sd_generic /etc/speech-dispatcher/modules/mary-generic.conf
devasc      7717       1  0 11:22 ?        00:00:01 /usr/lib/speech-dispatcher-modules/sd_espeak-ng /etc/speech-dispatcher/modules/espeak-ng.conf
